company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
61," USD 129,967.90 ",14,37.0, 1.0 ,-14.9%, 24.0 ,"2,481,040", saas ,SEED,Yes,Tier-1-Vc,0
 5.0 ,"140,533",15.43, 4.0 ,0.0,6.7%, 18.0 ," USD 1,935,752.32 ",unknown,,TRUE, tier-1-vc ,0
72.0,"81,759",7.61,46,0, 25 % ,25.0,"1,810,044",FINTECH,SERIES-A,Yes, tier-1-vc ,0
67," USD 55,536.81 ", 6.57 ,21.0,0.0,2.17, 22.0 ," USD 1,181,012.18 ", ai ,Pre-Seed,Yes,Angel,0
 20.0 ," USD 95,495.90 ",20.91, 28.0 , 0.0 ,5.5%,19,"$1,786,636", ai ,Series-A,remote,TIER-2-VC,0
77,"54,701", 8.38 ,8, 0.0 ,-10.34,15,n/a,saas,Pre-Seed,yes,TIER-1-VC,0
101.0,"73,074",8,n/a, 0.0 ,-1.67,23.0,,ecommerce,SEED,TRUE,TIER-1-VC,0
15,"125,791",12.8,17,0.0, 42 % ,18.0,"$1,848,317",HEALTHTECH, pre-seed ,FALSE,TIER-2-VC,0
87," USD 53,810.60 ",12.55,27, 0.0 , 11 % ,29," USD 874,048.83 ",Ai, series-a ,remote,Tier-2-Vc,0
 19.0 ,"$113,905",8.49, 22.0 ,1.0,-8.0%,13,,Fintech,,yes, tier-1-vc ,0
,"$106,146",11.48,53,0.0,4.33,12,"$1,908,375", ecommerce ,unknown,No,None,0
52.0,"43,255",,, 0.0 ,-18.8%,," USD 914,833.42 ", saas ,SERIES-B,TRUE,Angel,0
 3.0 ,"124,947",,27, 1.0 ,-8.25,20,"2,287,260",Ai,Seed,No,TIER-1-VC,0
116,"107,389",6,27.0,0.0,34.49,15.0,"1,427,819",FINTECH,Seed,TRUE,tier-2-vc,0
22.0,, 17.71 ,21, 0.0 ,7.4%,7.0,"$991,775", fintech ,,TRUE,none,0
 72.0 ,"48,085",15.46,41.0, 0.0 , 44 % ,unknown,"$827,031",fintech, pre-seed ,TRUE,angel,1
24.0," USD 45,589.68 ", 9.9 , 21.0 ,3,8.3%, 14.0 ,"701,479", ecommerce ,SEED,remote,Tier-2-Vc,0
 112.0 ,n/a,5.09,20.0,0.0,9.3%,27.0,"966,966",saas,,FALSE,TIER-2-VC,0
89,"98,561",9,40,0,21.5%,15," USD 1,814,193.84 ",ECOMMERCE, series-a ,FALSE,Tier-2-Vc,0
97.0,"43,235", 12.73 , 18.0 , 0.0 , -35 % ,unknown," USD 880,592.01 ",Healthtech,,yes,None,1
53,"93,026",19,25,0.0,13.69, 19.0 ,,fintech,series-b,unknown, angel ,0
57,"36,939", 7.82 ,4.0,1.0, 9 % ,20.0,"623,777",healthtech,Seed,1,NONE,0
77,"65,366",13, 36.0 ,1, 37 % ,20,"$950,825", healthtech , series-b ,,Tier-1-Vc,1
 94.0 ," USD 77,676.36 ",16.38,53.0,0.0,27.36,13.0,"$1,212,175",SAAS,Pre-Seed,No,NONE,0
102.0,"280,638", 1.09 ,36.0,2, -10 % ,21.0,"$5,460,556",AI, seed ,unknown,tier-2-vc,1
 5.0 ," USD 34,285.45 ",n/a, 46.0 ,1, 32 % ,24," USD 682,023.46 ",ecommerce,Seed,Yes,unknown,0
80,"164,326",7,14, 0.0 , 5 % , 15.0 ,,ecommerce,PRE-SEED,remote,tier-2-vc,0
 15.0 ,, 14.66 , 29.0 ,0,-6.3%,16,"1,405,792", healthtech ,Pre-Seed,yes,Tier-2-Vc,0
 36.0 ,"91,688", 14.23 ,13.0,0,,17,"1,426,656", ecommerce ,series-a,Yes,TIER-2-VC,1
100.0,"78,049",18,23,1,6.35, 22.0 ,"1,169,835", ecommerce , pre-seed ,No,unknown,0
32.0," USD 93,395.62 ",16,37.0,1,37.7%, 17.0 ," USD 846,255.86 ",fintech, seed ,,none,0
96.0,n/a,1,27,0.0,16.1%,,n/a,AI, series-b ,No, angel ,1
57.0,"162,710",9.08,6.0,0.0,13.7%,15,,ai,SEED,1,TIER-2-VC,0
30.0,"56,894",14, 8.0 , 0.0 , 26 % ,13.0,"$1,025,430", fintech ,Pre-Seed,Yes,ANGEL,0
42.0," USD 136,315.73 ", 12.03 , 7.0 ,1, 30 % , 16.0 ,"2,551,283",AI, pre-seed ,remote,Tier-2-Vc,0
 65.0 ,"51,308", 15.39 ,33,1, 24 % ,16," USD 565,347.21 ",ECOMMERCE,Pre-Seed,Yes,angel,0
92," USD 70,746.72 ", 16.95 ,55, 0.0 ,35.55, 17.0 ," USD 870,652.63 ",saas,Seed,TRUE,Tier-2-Vc,0
,"$40,555", 16.04 , 45.0 , 0.0 , 21 % , 20.0 ,"$899,843",ecommerce, series-a ,no,none,0
112,"$93,926", 11.93 ,2,0, 13 % ,17,"$1,611,935", ecommerce ,seed,0,,0
104.0,"161,914", 3.77 , 46.0 , 1.0 ,32.31, 22.0 ,"2,214,601",ai,pre-seed,no,Angel,0
91.0," USD 70,084.30 ", 10.72 ,39.0, 0.0 ,8.36, 20.0 ,"$1,085,929",ai,Series-A,remote,TIER-2-VC,0
73.0,"65,625",15, 4.0 , 0.0 ,10.6,17.0,"1,335,138",Healthtech,Seed,no,ANGEL,0
36.0,,7.55, 22.0 , 0.0 , 41 % ,9," USD 781,889.56 ",HEALTHTECH,SEED,no,,0
51,,16.16,41.0,1,39.2%,17.0," USD 653,403.55 ",HEALTHTECH, series-b ,0,ANGEL,0
16,"$30,454", 17.54 ,34, 3.0 ,9.85, 21.0 ,"$686,339", healthtech ,Seed,1, tier-2-vc ,0
46.0,"44,264", 13.63 ,8,1.0,1.8%, 13.0 ," USD 879,277.62 ",healthtech,Seed,1,tier-2-vc,0
111.0,"82,845", 1.0 ,35.0, 0.0 ,36.3%,21.0," USD 1,274,999.96 ",ecommerce,Series-A,,Tier-1-Vc,0
52,"151,064",7,2.0,0.0,24.4%, 10.0 ," USD 1,696,915.83 ",AI, series-a ,Yes, tier-2-vc ,0
16,"342,856",22,23,1,15.7%, 20.0 ,"$6,931,190", saas ,Series-A,TRUE,Tier-2-Vc,1
79," USD 52,964.56 ",10,42, 0.0 ,4.2%, 20.0 ," USD 948,367.97 ",Healthtech,series-a,1,TIER-2-VC,0
 115.0 ,"$161,041", 3.08 , 26.0 ,1,15.97, 19.0 ,"1,637,596", saas ,,1,Angel,0
104,"$83,622",19, 19.0 , 0.0 ,9.61,20.0," USD 1,260,327.12 ",Fintech,Seed,Yes,tier-2-vc,0
35,"$67,293",13.07,38,1.0,-1.96,8,"$1,918,171",saas,SERIES-A,No,Angel,0
56,"$92,774",, 40.0 ,1,12.3%,25.0," USD 1,490,515.55 ",Fintech,series-a,onsite,Tier-2-Vc,0
65,n/a,14.38,,2.0,14.8%,23," USD 986,058.50 ",ecommerce,series-a,Yes,NONE,0
 31.0 ,"77,708", 15.29 ,38,0,3.24,18,"$929,859",fintech, seed ,Yes,Angel,1
,,,41, 0.0 ,26.27,20.0,"$1,348,828",SAAS,SERIES-A,onsite, tier-2-vc ,0
30,"$33,896",16.49,36.0,0.0, 33 % ,18,, saas ,pre-seed,TRUE,angel,0
119,,24.39,30.0,0,27.5%, 17.0 ,"676,763",Saas,PRE-SEED,remote,angel,0
90," USD 104,745.06 ",18,27,1, 5 % ,16.0,"1,779,906",Saas,Seed,yes, angel ,1
101.0,"$62,807", 5.1 ,23.0, 1.0 , 24 % , 16.0 ," USD 1,319,947.69 ", ai ,pre-seed,Yes, tier-1-vc ,1
98,"52,688",15,9,1.0, 11 % , 15.0 ," USD 664,228.16 ",ECOMMERCE,series-a,FALSE, angel ,0
 115.0 ," USD 73,473.35 ",19,unknown,0, -12 % ,,"1,223,358",FINTECH, pre-seed ,remote,Angel,0
15,"113,234", 19.01 , 22.0 ,0.0,22.11, 12.0 ," USD 1,941,762.79 ",SAAS,Series-A,FALSE,tier-1-vc,0
106,"80,757",11,29, 0.0 ,12.63,,"$1,738,681", healthtech ,Seed,TRUE,Tier-1-Vc,0
10,"50,979", 18.82 , 46.0 , 1.0 ,56.7%,18," USD 880,681.83 ",SAAS,pre-seed,no,none,0
58.0,"$143,553",18,25.0, 0.0 , 36 % ,17,"1,937,675", ai ,Pre-Seed,No,Tier-2-Vc,1
72.0,"$174,303",26,n/a, 0.0 ,22.8%, 25.0 ,"$2,833,526", saas , seed ,1, none ,0
44.0,"$95,991", 9.25 ,41,1.0,14.49,20.0,"892,171",,SERIES-A,Yes,Tier-1-Vc,0
20.0,"$124,931",10, 23.0 ,0,12.9%,20,"$839,051",healthtech, seed ,TRUE,unknown,0
25.0,"$144,796", 11.47 ,34.0, 0.0 ,-8.07,24.0," USD 2,798,226.84 ", saas ,,FALSE, angel ,1
 99.0 ," USD 136,155.74 ",11,23.0,0, -21 % ,13,"1,974,398",AI,SEED,0,ANGEL,1
 40.0 ," USD 102,513.99 ",9, 45.0 , 0.0 , -6 % ,21,"$1,533,028", ai ,Pre-Seed,Yes, tier-2-vc ,1
39,"$101,630",1, 35.0 , 1.0 , 9 % , 20.0 ,"1,963,870",HEALTHTECH,Pre-Seed,remote,NONE,1
 111.0 ,"$97,325",11,9,1,,20.0," USD 2,101,060.65 ",HEALTHTECH, series-b ,0,TIER-2-VC,0
19.0,"$39,993", 14.85 , 28.0 , 0.0 , 0 % ,19.0," USD 725,394.42 ",Ecommerce,pre-seed,onsite, angel ,1
 110.0 ," USD 107,516.30 ", 10.53 , 49.0 , 0.0 , 6 % ,23," USD 2,549,457.81 ", ecommerce , pre-seed ,TRUE,,0
n/a,"$34,693",22.68,23, 0.0 , 6 % ,15,"$624,853", ecommerce ,Series-A,1,Tier-1-Vc,0
73," USD 47,238.77 ",13, 32.0 , 0.0 ,-1.91, 23.0 ,"812,925",FINTECH,Series-A,remote, angel ,0
22.0,"$149,786",19.46,34,0.0, 4 % , 16.0 ,"2,540,598",ecommerce,Seed,No, none ,0
21.0,"$116,090", 14.31 ,unknown, 0.0 , 41 % , 18.0 ," USD 1,260,507.35 ",unknown,series-a,no,Angel,0
 36.0 ," USD 165,722.35 ",17.13,33.0,1,,16,,Ecommerce,Series-B,0, tier-2-vc ,0
,"$62,980",14, 6.0 ,0.0,-0.1%,12.0," USD 391,620.78 ",Ai,Pre-Seed,Yes,NONE,0
 20.0 ," USD 38,803.40 ",19.84,17.0,0,8.77,," USD 529,859.98 ",SAAS,pre-seed,onsite,TIER-2-VC,1
56," USD 64,071.80 ", 13.28 ,41.0,0,9.49,16.0,"1,031,025",AI, series-a ,Yes,Angel,0
16,"77,352",15,31.0, 1.0 ,-3.8%,17," USD 993,268.75 ",healthtech,series-a,onsite,tier-2-vc,0
66,unknown,,22.0,1.0,-3.8%, 7.0 ," USD 1,084,024.44 ",ECOMMERCE, series-b ,1,Tier-2-Vc,0
 5.0 ," USD 136,424.18 ",11.56,32,0,28.2%,16,,saas,,onsite,none,0
85.0," USD 59,952.10 ", 15.02 ,25.0,1.0,2.44,21.0,"$1,223,988",ai,series-b,remote,angel,0
9.0,"$88,754",24, 26.0 , 1.0 , -10 % ,9,"1,176,579",ai,SEED,,tier-2-vc,0
25," USD 42,457.34 ",11.65,35.0,1.0,9.2%,,"599,571",ECOMMERCE,Series-A,0,,0
 23.0 ,"93,683", 15.1 ,16,0.0,,21,, fintech ,SERIES-B,onsite,tier-2-vc,0
100,"73,256",19.29,27.0,1,, 16.0 ,"1,378,668",Ecommerce,,1,TIER-1-VC,0
 9.0 ,"$48,417", 18.7 ,22,0.0,9.27, 16.0 ,"726,302",Saas,PRE-SEED,0,NONE,0
53.0,"$64,234",13,4.0,1.0,25.62,18," USD 522,491.06 ",ecommerce,seed,Yes,angel,0
72.0," USD 66,085.41 ", 1.08 , 13.0 ,1.0,18.1%,18.0,"$1,084,008",FINTECH,series-a,remote,Angel,0
63,"63,033",15.58,48, 2.0 ,50.14,15.0," USD 1,119,209.74 ",saas,pre-seed,onsite, none ,0
82," USD 193,733.29 ", 1.9 ,31.0, 0.0 ,32.5%, 16.0 ," USD 3,846,102.46 ", ai ,SERIES-A,FALSE, tier-1-vc ,0
96,"$69,276",20.35,7,0,36.1%,20,"1,088,090",healthtech,SEED,Yes,tier-1-vc,0
 49.0 ,, 13.85 ,unknown,1.0,60.4,20.0,, ai ,Seed,No,ANGEL,1
99.0,, 18.0 , 24.0 ,0,23.65,21.0,"$552,475",,SEED,1,tier-1-vc,0
40.0,"44,720",8.49,48.0, 0.0 ,12.94,17,"716,705", fintech ,SERIES-B,onsite,None,0
118.0," USD 63,279.05 ", 5.24 , 23.0 ,0.0,27.53,23,"$1,194,598", ai ,Pre-Seed,FALSE,tier-1-vc,0
62,"50,150",14.3,44.0,0.0,-0.07,19," USD 694,173.37 ",healthtech,SEED,No,tier-1-vc,0
89.0,"$156,364",12.83, 31.0 ,1.0, 12 % , 17.0 ,"$2,933,324", healthtech , pre-seed ,no,ANGEL,1
105," USD 66,788.37 ",10.54, 33.0 , 1.0 ,,23.0," USD 679,737.56 ",,,0,Tier-2-Vc,0
 95.0 ,"$148,545",13.42,7.0,1,17.16,14,"2,102,171",ECOMMERCE,series-a,no,tier-2-vc,0
n/a,"75,655", 26.84 ,39.0, 1.0 ,-1.7%, 13.0 ," USD 844,830.98 ",Ai, pre-seed ,Yes,ANGEL,0
65,"$74,643",17.17, 21.0 ,1,-2.4%, 14.0 ,"1,013,663",fintech,seed,yes,ANGEL,0
8," USD 69,644.71 ",18.25, 38.0 ,0.0, 17 % ,,"1,462,670",,SEED,unknown,Tier-2-Vc,0
," USD 73,283.29 ",, 15.0 ,1,7.5%,20.0,"$993,040", fintech ,,TRUE, none ,1
24," USD 188,214.44 ",unknown,28,0.0, -25 % ,17.0," USD 3,552,175.81 ",FINTECH, series-a ,FALSE,none,0
 107.0 ," USD 20,418.86 ", 12.05 ,31.0,0,-16.2,11.0,"450,625",unknown, seed ,Yes,angel,0
 30.0 ,"$24,322", 2.73 ,24.0,0.0, -11 % ,21.0,"386,474",Ai,Seed,no, tier-2-vc ,0
29," USD 54,244.45 ",12.06,32.0,0,-5.9%,13," USD 1,083,536.69 ", healthtech ,,remote,ANGEL,0
32.0,"$73,717",17, 22.0 ,0,17.46,14,"1,336,074",healthtech,Seed,No, angel ,0
 78.0 ,, 8.15 ,17, 0.0 ,13.94, 15.0 ,"$1,760,027", ecommerce ,,onsite,angel,0
69," USD 94,863.85 ",12.12,48.0,2.0, 29 % , 14.0 ,"$1,802,533",ecommerce, pre-seed ,1,ANGEL,0
 114.0 ,"$59,199", 9.54 ,n/a,0, 24 % ,20,"$1,382,881",HEALTHTECH,SEED,No, tier-2-vc ,0
51.0,"128,088",21,15,0.0,n/a,23.0," USD 1,722,904.11 ",Healthtech, seed ,remote,unknown,0
36.0,"128,876",17,34.0,0.0, 21 % ,,"$1,567,546",HEALTHTECH,PRE-SEED,FALSE, tier-2-vc ,0
 8.0 ,"80,921", 16.26 ,16,1.0,13.8%, 19.0 ,"965,256",ECOMMERCE,SEED,0,ANGEL,0
 3.0 ," USD 124,176.80 ",16, 9.0 ,0, 30 % ,19,"2,480,768",AI, pre-seed ,, tier-2-vc ,0
 46.0 ,"$84,962",,40,0.0,26.55, 17.0 ,"$1,743,198", saas ,series-a,remote,,0
111.0,"53,701",13.99,2.0,0, 17 % ,15,"743,856",ECOMMERCE,pre-seed,yes,Tier-1-Vc,0
64.0," USD 107,344.57 ",7,39,1.0, 33 % ,14,"$800,355",Saas, seed ,TRUE,NONE,0
 107.0 ," USD 77,717.62 ",2.07, 22.0 ,0,-32.2%,19," USD 1,033,719.90 ",ai, pre-seed ,onsite, tier-1-vc ,1
14,"$73,184",13.75,23.0,0,4.77,15," USD 1,331,327.06 ",ECOMMERCE,seed,Yes,angel,0
13.0,"164,411", 14.62 , 32.0 , 1.0 , 4 % , 24.0 ,"2,586,695",ECOMMERCE, pre-seed ,0,NONE,1
 100.0 ,unknown, 19.05 ,34, 2.0 , 31 % ,17.0,"$317,651",,Seed,FALSE,Tier-2-Vc,0
 15.0 ,"33,533",20.86,unknown,1,38.29, 28.0 ,"$466,325",Saas, series-a ,0,unknown,0
 9.0 ,"$38,067",21, 36.0 ,1.0, -16 % ,27,"763,492",Ai,Pre-Seed,0,Angel,0
50.0,"59,887", 8.01 , 28.0 ,0, 35 % ,19," USD 1,040,394.49 ",FINTECH, series-a ,Yes,Tier-2-Vc,0
111.0,"63,574",11,8,0, -11 % ,19,"1,166,326",Fintech, seed ,0,TIER-2-VC,0
unknown," USD 31,919.45 ", 15.4 ,24.0,0, -11 % , 11.0 ," USD 531,020.40 ",saas,seed,, tier-2-vc ,0
 14.0 ," USD 42,538.43 ",25.66, 45.0 ,0.0,5.8%,21.0,"$769,838",Healthtech,SEED,FALSE,Tier-1-Vc,0
100," USD 45,548.69 ", 20.4 ,49.0, 0.0 ,, 20.0 ,"$812,328", fintech ,seed,Yes,,0
101,"$282,542", 18.6 ,36,1.0,-18.1%, 12.0 ,"$3,471,794",FINTECH,series-a,TRUE,none,0
96.0,"$197,000", 11.06 ,9,0.0,21.7,unknown," USD 3,445,970.49 ",saas,SERIES-A,onsite,tier-2-vc,0
108.0,"$58,311",8.58, 33.0 , 2.0 ,22.23,19.0,"1,117,581",HEALTHTECH,series-a,onsite,Angel,0
31,,17,38.0,0.0,29.0%,,"1,234,675",,PRE-SEED,remote, none ,0
 117.0 ," USD 38,868.44 ", 7.5 ,36.0,1.0, 2 % ,13," USD 686,588.72 ",ai, series-a ,0,NONE,0
40.0,"25,605",12,37,0,9.3%,," USD 310,814.49 ",Ecommerce,PRE-SEED,TRUE,ANGEL,1
96," USD 68,577.23 ", 12.43 ,31.0,1.0,9.45, 28.0 ," USD 874,684.15 ", fintech ,seed,Yes, angel ,0
 70.0 ,"$42,242",20.96, 25.0 ,0,unknown, 14.0 ,"602,353",,PRE-SEED,Yes,ANGEL,1
 94.0 ,"69,796", 11.23 , 17.0 ,1,-35.0%,16.0,"1,169,632",FINTECH,Pre-Seed,TRUE,TIER-2-VC,0
76," USD 30,329.82 ", 1.0 ,2,1,-7.2%, 19.0 ," USD 470,447.58 ", saas ,seed,1,TIER-2-VC,0
 78.0 ,"$48,094",15.52, 31.0 , 0.0 , 10 % , 18.0 ," USD 553,325.66 ",saas,series-a,yes,TIER-1-VC,0
75.0,, 9.5 ,29.0, 0.0 ,n/a,17,"$911,137",AI,Pre-Seed,Yes,none,1
 94.0 ,"$89,448", 13.21 ,34,0.0,5.35,20.0," USD 680,335.43 ",Saas,seed,remote,,0
 89.0 ,"92,006",13,7,0.0,7.7%,24.0,"$324,055",,seed,TRUE,TIER-2-VC,0
18,"35,374",12, 35.0 ,0,, 22.0 ,"$547,337",saas,series-b,1,NONE,1
99,n/a,17,55,0,11.2%,15,"2,958,305",ECOMMERCE,SERIES-A,onsite,Angel,0
unknown," USD 47,093.18 ",5,27.0,1,21.3%,20.0,,ECOMMERCE,PRE-SEED,0, tier-2-vc ,1
 40.0 ,"$103,577", 10.41 ,25.0,0,5.8%,18," USD 1,251,944.50 ",healthtech,unknown,remote,Tier-2-Vc,0
63,"72,704",16,30, 1.0 ,1.8%,26,"$1,206,855",fintech,seed,remote,ANGEL,0
116,"$34,303", 9.93 , 54.0 , 1.0 ,7.02,13.0," USD 347,889.69 ",ai, pre-seed ,onsite,TIER-2-VC,0
 103.0 ,, 4.96 ,12.0, 0.0 , 10 % ,19.0," USD 660,757.58 ",Healthtech,series-b,FALSE,unknown,0
100.0,"$89,407", 16.34 , 29.0 , 1.0 ,-21.3%,21.0," USD 1,002,258.06 ",Saas,series-b,onsite,,0
 57.0 ,"$102,450",18.62,15, 1.0 ,18.3%,14,"1,546,792",Healthtech,Series-B,no,Angel,0
 94.0 ," USD 67,673.95 ", 12.78 , 18.0 , 0.0 ,1.9%, 12.0 ,"1,033,392",Saas,seed,FALSE,TIER-2-VC,0
48,"169,817", 3.2 ,25.0,3,32.7%,15.0,"2,888,729",saas,,no,TIER-2-VC,0
83.0,"$127,278",16.53,45.0, 0.0 , 21 % , 13.0 ,"2,374,104",ecommerce,,unknown,angel,0
77,"$63,503", 4.7 ,51.0,1.0,31.06,24," USD 930,474.16 ",SAAS,PRE-SEED,FALSE, tier-2-vc ,0
 32.0 ," USD 110,477.48 ", 14.54 ,32.0, 0.0 ,-8.2%, 16.0 ," USD 1,783,637.72 ",Healthtech,Pre-Seed,No,Tier-2-Vc,1
 34.0 ,"$211,840",9,21.0, 0.0 ,3.3%,14," USD 2,462,586.70 ",Ai,PRE-SEED,FALSE,ANGEL,1
 10.0 ,"214,973", 7.2 , 61.0 ,0,-12.36,22.0,"2,283,443",SAAS,SEED,Yes,Angel,1
19," USD 37,219.95 ",11,20,0.0, -3 % ,," USD 372,352.45 ",unknown,SERIES-B,, angel ,0
53.0,"43,932",12.08,18.0,0,, 18.0 ,"$817,010",ecommerce,Series-A,Yes,TIER-2-VC,0
58,"$165,496", 9.78 ,2.0,0,36.77, 17.0 ,"2,424,254",Ecommerce,SEED,TRUE,None,0
22,"$40,862", 15.94 , 46.0 ,0.0,-10.7%, 15.0 ,"$347,958",Fintech,,No, angel ,0
51,"$35,334",10.77, 40.0 , 1.0 ,1.75,,"556,428",Healthtech,Pre-Seed,0,Angel,1
73," USD 55,971.24 ", 17.9 ,60,0, 9 % ,21.0," USD 615,947.50 ",Fintech, seed ,yes,Tier-2-Vc,0
30.0," USD 92,145.55 ",14,7.0, 0.0 ,20.5%, 16.0 ,n/a, ai ,Pre-Seed,0,Tier-2-Vc,0
42,"69,126",9.51,46.0,0,-21.7%, 18.0 ,"945,965",SAAS, series-a ,Yes,ANGEL,0
45,"51,133",,27.0, 2.0 ,-18.85,29,"$957,522",Ecommerce,series-a,1, tier-2-vc ,0
 62.0 ,"50,472",, 37.0 ,0, 19 % , 16.0 ,"1,027,410",unknown,Series-A,1,angel,0
45," USD 49,425.15 ", 14.45 ,unknown,0,-25.1%,," USD 602,012.43 ",Ecommerce,series-a,1, angel ,0
,"45,083",unknown,47.0,0,2.0%,28,"735,048",SAAS,PRE-SEED,0,tier-2-vc,0
41.0,"$256,504",1.14,unknown,0, 13 % ,26.0," USD 4,671,924.12 ",unknown,Series-A,FALSE,None,1
53.0," USD 86,131.55 ",,25,0,17.48,,"$1,417,914",FINTECH,pre-seed,onsite,tier-2-vc,0
47," USD 119,099.85 ", 8.49 ,35.0,0.0, 7 % , 21.0 ," USD 2,077,625.75 ",saas,Seed,yes, tier-2-vc ,0
 24.0 ,"55,883",21,unknown, 0.0 ,3.4%,21.0,"$596,908", saas ,Seed,no,Tier-1-Vc,0
 83.0 ,unknown,4,18.0,0.0, 25 % ,13.0," USD 1,202,642.90 ",ECOMMERCE,Pre-Seed,TRUE, angel ,0
 30.0 ,"$49,392",5.79,20.0,0,15.1%,18.0," USD 694,222.60 ",Ai,PRE-SEED,1,Angel,0
37.0,"$17,010", 18.55 ,,0,unknown,16,"295,938", ecommerce , seed ,onsite,NONE,0
95.0,"$34,272",19.78,38,0.0,10.7%,20," USD 674,478.80 ",healthtech,pre-seed,onsite,TIER-1-VC,0
114.0," USD 27,015.33 ",9,43.0,0.0, 17 % ,19,unknown, ai , series-b ,onsite,Tier-2-Vc,0
 81.0 ,"$21,218", 9.84 ,16,0.0, 41 % , 16.0 ,"369,090",Ai,seed,TRUE, tier-2-vc ,0
 110.0 ,"37,894", 16.08 ,31,0.0,24.15,19,"$703,638",ai,Seed,No,TIER-2-VC,0
102.0,"151,558", 1.36 , 22.0 , 0.0 , 32 % ,13,"$2,842,270",ecommerce,series-b,yes,Angel,0
 59.0 ," USD 71,364.81 ", 3.69 , 31.0 , 2.0 , -1 % ,16,"1,568,741", ecommerce , seed ,,tier-2-vc,0
 93.0 ,"148,718",11.6, 17.0 ,0.0, 1 % ,18,"2,359,239", healthtech ,Seed,onsite,Tier-2-Vc,1
41," USD 91,678.25 ", 20.75 , 14.0 , 1.0 , 6 % ,17.0," USD 1,526,977.12 ",HEALTHTECH, series-b ,no,none,0
56.0,"112,466", 10.82 ,41,0.0, 7 % ,n/a," USD 2,218,761.79 ",ai,Pre-Seed,FALSE,tier-1-vc,0
65,"$44,556", 13.5 ,25,0,,11.0,"625,500",ai,,No,unknown,0
,, 18.67 ,, 0.0 ,32.79,25.0,"$1,039,833",unknown,SEED,TRUE,Tier-1-Vc,0
 102.0 ,,24,27.0,0.0,25.9,20,"1,962,361",AI,SEED,onsite, tier-2-vc ,0
60,"$53,255", 10.12 ,13, 0.0 ,4.5%, 19.0 ," USD 808,190.42 ",Ecommerce,,onsite, angel ,0
 79.0 ,unknown,12.92,43, 0.0 ,21.55,23," USD 1,111,219.92 ",ai,pre-seed,Yes,TIER-2-VC,0
26,"99,848",22.11,35.0, 0.0 , 14 % ,21,"$1,797,479",,Seed,TRUE,NONE,0
97,"$54,054",5, 36.0 ,0,22.96,33," USD 1,174,306.35 ", ai ,Series-A,remote,TIER-2-VC,0
67,"39,438",18.14, 43.0 ,0, -14 % ,,"373,910",ecommerce,series-b,onsite,none,0
65.0,"$38,129",7.91, 17.0 ,1,unknown, 13.0 ," USD 765,984.15 ",fintech, pre-seed ,0,Tier-1-Vc,0
 92.0 ,"$76,694",13.51,24,0.0, 9 % ,16,"448,792",ECOMMERCE, pre-seed ,FALSE,angel,0
 77.0 ,"$87,540", 11.79 ,,0.0,21.2%,14,"$1,260,481",SAAS, series-b ,remote, none ,0
 11.0 ," USD 47,292.68 ",8, 8.0 ,1,-1.3%,5,"1,104,855",ai,SEED,remote,None,0
," USD 74,207.61 ",8,22.0, 0.0 ,,,"$1,089,865",SAAS,Pre-Seed,Yes,Tier-2-Vc,0
 23.0 ,"100,087",, 45.0 , 0.0 , -9 % , 19.0 ,"$1,637,399",Healthtech, pre-seed ,Yes, angel ,1
 88.0 ,"102,745", 17.98 ,29, 2.0 ,8.9,,"$1,957,442",AI,Series-A,Yes,unknown,1
n/a," USD 171,705.15 ", 12.35 , 7.0 ,1,11.15, 17.0 ,"$1,568,373",HEALTHTECH,Seed,unknown,None,1
26.0," USD 147,611.55 ",,4.0,0.0, 40 % , 22.0 ," USD 2,404,352.94 ",Ai, seed ,Yes,angel,0
 72.0 ,,16,,0.0,20.5%,18,"685,432",Fintech, series-a ,yes,TIER-1-VC,0
84.0,"184,605",8,25.0, 1.0 ,11.5%,18,unknown, ecommerce ,pre-seed,no,Angel,0
 61.0 ,"$54,609",17,17.0, 0.0 ,9.42,23,"$603,819",Healthtech,pre-seed,remote, angel ,0
103,"$129,921",17,22, 1.0 ,29.88,11.0,"$1,880,453",ai,seed,yes,NONE,0
110,"$75,917", 26.02 ,5,0, -1 % ,25.0,"$932,757",Saas,Series-B,onsite,NONE,0
18.0," USD 58,297.70 ",11,46,0.0, 7 % ,24,"$691,548",HEALTHTECH,pre-seed,onsite, angel ,0
 114.0 ,"27,059",10.71,unknown,2,-9.6%,19,"554,965",healthtech, series-a ,No,NONE,1
74,unknown,17, 45.0 ,4,35.5%,n/a,"$1,071,820",FINTECH, pre-seed ,no,NONE,0
77," USD 31,018.50 ",17, 27.0 ,1,unknown, 13.0 ,"$427,365",HEALTHTECH,pre-seed,No,NONE,0
 14.0 ,"$124,494",10, 46.0 ,1,-2.7%,19.0," USD 1,734,032.25 ", ai ,SERIES-B,onsite,,0
75,"$168,423", 10.98 ,30,2, 8 % ,10.0," USD 2,315,331.08 ",ecommerce,Pre-Seed,0, tier-2-vc ,0
87.0," USD 47,178.75 ",, 38.0 ,1,19.17,17.0,"$665,446",ECOMMERCE,PRE-SEED,1,none,0
70.0,"86,343",8.86, 36.0 ,0.0, 5 % , 26.0 ,"944,785",SAAS,,Yes, tier-2-vc ,1
